mcc_code,mcc_description,,,,
742,Ветеринарные услуги,,,,
1711,Генеральные подрядчики по вентиляции,,,,
1731,Подрядчики по электричеству,,,,
1799,Подрядчики,,,,
2741,Разнообразные издательства/печатное дело,,,,
3000,Авиалинии,,,,
3351,Агентства по аренде автомобилей,,,,
3501,Жилье — отели,,,,
4111,Транспортировка — пригородные и локальные сезонные транспортные средства,,,,
4112,Пассажирские железные перевозки,,,,
4121,Лимузины и такси,,,,
4131,Автобусные линии,,,,
4214,Агентства по автотранспортным перевозкам,,, местная доставка,
4215,Услуги курьера — по воздуху и на земле,,,,
4411,Круизные линии,,,,
4511,Авиалинии,,,,
4722,Туристические агентства и организаторы экскурсий,,,,
4784,Дорожный и мостовой сборы,,,,
4789,Услуги по транспортировке — нигде более не классифицированные,,,,
4812,Телекоммуникационное оборудование,,,,
4814,Звонки с использованием телефонов,,,,
4816,Компьютерная сеть/информационные услуги,,,,
4829,Денежные переводы,,,,
4899,Кабельные и другие платные телевизионные услуги,,,,
4900,Коммунальные услуги — электричество,,, вода,
5013,Поставщики грузовиков и запчастей,,,,
5039,Строительные материалы — нигде более не классифицированные,,,,
5044,Офисное,,, и микрофильмирующее оборудование,
5045,Компьютеры,,,,
5047,Стоматологическое/лабороторное/медицинское/офтальмологическое стационарное оборудование и устройства,,,,
5065,Электрические части и оборудование,,,,
5072,Оборудование и сопутствующие материалы для технического обеспечения,,,,
5074,Оборудование для водопровода и отопительной системы,,,,
5085,Промышленное оборудование — нигде более не классифицированное,,,,
5094,Драгоценные камни и металлы,,,,
5099,Товары длительного пользования — нигде более не классифицированные,,,,
5111,Канцелярия,,,,
5122,Лекарства,,,,
5131,Штучные товары,,,,
5137,Мужская,,,,
5169,Химикалии и смежные вещества,,,,
5172,Нефть и нефтепродукты,,,,
5192,Книги,,,,
5193,Оборудование для выращивания растений,,,,
5199,Товары недлительного пользования,,,,
5200,Товары для дома,,,,
5211,Лесо- и строительный материал,,,,
5231,Розничная продажа стекла,,,,
5251,Скобяные товары в розницу,,,,
5261,Садовые принадлежности (в том числе для ухода за газонами) в розницу,,,,
5300,Оптовики,,,,
5309,Беспошлинные магазины Duty Free,,,,
5310,Магазины,,,,
5311,Универмаги,,,,
5331,Универсальные магазины,,,,
5399,Различные товары общего назначения,,,,
5411,Бакалейные магазины,,,,
5422,Продажа свежего и мороженого мяса,,,,
5441,Кондитерские,,,,
5451,Продажа молочных продуктов в розницу,,,,
5462,Булочные,,,,
5499,Различные продовольственные магазины — рынки,,, фирменных блюд, продажа с помощью торговых автоматов
5511,Легковой и грузовой транспорт — продажа,,, запчасти и лизинг,
5532,Автошины,,,,
5533,Автозапчасти и аксессуары,,,,
5541,Станции техобслуживания,,,,
5542,Автоматизированные бензозаправки,,,,
5571,Продажа мотоциклов,,,,
5599,Продажа снегоходов,,,,
5611,Мужская одежда и аксессуары,,,,
5621,Готовая женская одежда,,,,
5631,Аксессуары для женщин,,,,
5641,Детская одежда,,,,
5651,Одежда для всей семьи,,,,
5655,Спортивная одежда,,,,
5661,Обувные магазины,,,,
5681,Изготовление и продажа меховых изделий,,,,
5691,Магазины мужской и женской одежды,,,,
5697,Услуги по переделке,,,,
5699,Различные магазины одежды и аксессуаров,,,,
5712,Оборудование,,,,
5713,Покрытия для пола,,,,
5714,Ткани,,, жалюзи,
5719,Различные специализированные магазины бытовых принадлежностей,,,,
5722,Бытовое оборудование,,,,
5732,Продажа электронного оборудования,,,,
5733,Продажа музыкальных инструментов,,,,
5734,Продажа компьютерного программного обеспечения,,,,
5735,Магазины звукозаписи,,,,
5811,Поставщики провизии,,,,
5812,Места общественного питания,,,,
5813,Бары,,, ночные клубы и таверны — места продажи алкогольных напитков,
5814,Рестораны,,,,
5816,Цифровые товары,,,,
5912,Аптеки,,,,
5921,Магазины с продажей спиртных напитков на вынос (пиво,,,,
5931,Магазины second hand,,,,
5940,Веломагазины — продажа и обслуживание,,,,
5941,Магазины спорттоваров,,,,
5942,Книжные магазины,,,,
5943,Магазины офисных,,,,
5944,Магазины по продаже часов,,,,
5945,Магазины игрушек,,,,
5946,Магазины фотооборудования и фотоприборов,,,,
5947,Магазины открыток,,,,
5948,Магазины кожаных изделий,,,,
5949,Магазины ткани,,,,
5950,Магазины хрусталя и изделий из стекла,,,,
5964,Прямой маркетинг — торговля через каталог,,,,
5965,Прямой маркетинг — комбинированный каталог и торговцы в розницу,,,,
5967,Прямой маркетинг — входящий телемаркетинг,,,,
5968,Прямой маркетинг — торговые точки подписки,,,,
5969,Прямой маркетинг — другие торговые точки прямого маркетинга (нигде более не классифицированные),,,,
5970,Магазины художественных и ремесленных изделий,,,,
5971,Галереи и художественные посредники,,,,
5976,Ортопедические товары,,,,
5977,Магазины косметики,,,,
5983,Горючее топливо — уголь,,, дрова,
5992,Флористика,,,,
5993,Табачные магазины,,,,
5994,Дилеры по продаже печатной продукции,,,,
5995,Зоомагазины,,,,
5999,Плавательные бассейны — распродажа,,,,
6010,Финансовые институты — снятие наличности вручную,,,,
6011,Финансовые институты — снятие наличности автоматически,,,,
6012,Финансовые институты — торговля и услуги,,,,
6051,Не-финансовые институты — иностранная валюта,,, квази-кэш,
6211,Ценные бумаги: брокеры/дилеры,,,,
6300,Продажа страхования,,,,
6513,Агенты и менеджеры по аренде недвижимости,,,,
6536,Денежные переводы MasterCard MoneySend,,,,
7011,Отели,,, сервисы бронирования,
7210,Таймшер,,,,
7216,Химчистки,,,,
7221,Фотостудии,,,,
7230,Салоты красоты и парикмахерские,,,,
7273,Службы знакомств,,,,
7278,Сервисы по покупке/продаже,,,,
7298,Центры здоровья,,,,
7299,Иной сервис,,,,
7311,Рекламные услуги,,,,
7338,Услуги копировальных центров,,,,
7372,Программирование,,, дизайн,
7375,Информационные провайдеры,,,,
7395,Фотостудии,,,,
7399,Бизнес-сервис,,,,
7512,Прокат автомобилей,,,,
7523,Паркинги и гаражи,,,,
7531,Станции технического обслуживания для автомобильного транспорта,,,,
7538,СТО общего назначения,,,,
7542,Автомойки,,,,
7629,Ремонт бытовой техники,,,,
7699,Общий ремонт,,,,
7829,Производство и дистрибуция видеофильмов,,,,
7832,Кинотеатры,,,,
7841,Видеопрокат,,,,
7922,Театральные продюсерские агентства,,,,
7932,Билльярд-клубы,,,,
7933,Боулинг-клубы,,,,
7991,Туристические аттракционы и шоу,,,,
7993,Принадлежности для видеоигр,,,,
7994,Галереи/учреждения видеоигр,,,,
7995,Транзакции по азартным играм,,,,
7996,Луна-парки,,, предсказатели будущего,
7997,Клубы — сельские клубы,,, спорт), частные поля для гольфа
7999,Услуги отдыха,,,,
8011,Доктора,,,,
8021,Дантисты,,,,
8043,Оптика,,,,
8062,Больницы,,,,
8071,Зубные и медицинские лаборатории,,,,
8099,Практикующие врачи,,,,
8220,Колледжи,,,,
8244,Школы — бизнес и секретарей,,,,
8299,Образовательные услуги,,,,
8398,Организации благотворительные и общественные службы,,,,
8641,Ассоциации — гражданские,,,,
8699,Организации,,,,
8999,Профессиональные услуги,,,,
9211,Судовые выплаты,,,,
9222,Штрафы,,,,
9311,Налоговые платежи,,,,
9399,Правительственные услуги,,,,
9402,Почтовые услуги — только правительство,,,,
